iteration,valid_l1,train_l1
1,2480.172946685245,2748.396717794247
2,2384.902788255541,2646.9453984686656
3,2297.0814151401623,2552.534545039221
4,2216.6868627679382,2462.1907946234833
5,2138.029994611734,2378.2935119489753
6,2060.7640942234148,2298.745468896766
7,1989.0235934262328,2224.6208272321574
8,1921.6963968330922,2153.078052628472
9,1858.6583663049148,2085.7001574598785
10,1799.3201720132809,2023.2597393247083
11,1741.2659651565423,1961.9542074670221
12,1688.5129003649288,1905.9482516175938
13,1641.4620078927649,1851.6707365810528
14,1594.5385737376162,1801.367020789391
15,1549.7393424222028,1751.5162887646125
16,1510.370842768324,1707.1249301850626
17,1475.0276923485237,1662.787677768756
18,1438.3501381352903,1621.0842422753776
19,1408.0681730888095,1582.5919782687422
20,1377.8075506235405,1546.1702881541744
21,1352.4189357581897,1511.462789940048
22,1326.1061664994513,1479.1672061246945
23,1300.3476045008358,1448.4991888153813
24,1277.1181802322633,1419.7698198969033
25,1257.8866106579906,1391.0455217301069
26,1241.7387551439679,1363.8235900106522
27,1224.9724457414552,1340.5657759320338
28,1211.4536370055564,1316.2676041827463
29,1197.6706593827553,1295.3774313293843
30,1185.8317941670696,1274.4229819538032
31,1174.9874496026564,1255.4539479854525
32,1164.364082857069,1237.9491185351908
33,1154.5842041066537,1220.429423461315
34,1144.9502307965784,1204.4529192840596
35,1137.8054845640115,1189.4115225183211
36,1130.4000635427674,1175.1296846853631
37,1123.9394877054106,1160.4350586784449
38,1117.2478891957944,1148.177161055676
39,1112.216249341355,1136.11483619033
40,1106.4955412289614,1125.2506501167534
41,1101.2877910843406,1115.199747410803
42,1097.0740921535623,1104.7818537054718
43,1093.1956567749935,1094.2080223580697
44,1089.9002699224066,1084.3152585817552
45,1088.1283199742263,1076.0317689064816
46,1086.050258890578,1068.84580746276
47,1084.0867004580352,1060.9949466170142
48,1081.6717816970408,1053.58183728192
49,1079.700723182274,1045.1336180779363
50,1078.6013061585038,1037.4100351416332
51,1076.699076839866,1031.0834343201902
52,1075.5823620747458,1025.4618031780371
53,1074.1033446633019,1019.308816414956
54,1073.1298554851019,1013.9872308367666
55,1072.2713138864538,1008.7877177823134
56,1070.7745862316785,1004.1458779572312
57,1070.2670865473729,999.8175518266219
58,1069.5011777945138,995.6494949234213
59,1068.9612650819818,991.3545644965151
60,1068.3931444359512,988.52106680839
61,1067.6025266278457,984.9142204386703
62,1066.6987099455002,982.2849695230991
63,1066.3085950203117,979.6373691379425
64,1065.401764909251,976.2929751938692
65,1065.1428517416464,973.5739349187737
66,1064.1501749197498,971.7537636318832
67,1063.834068019296,968.9865155312027
68,1063.545742238113,967.0800278490688
69,1063.1455534433037,965.1517678863028
70,1062.5391750014996,963.5052263357437
71,1062.4543148176897,961.7491315126779
72,1062.18912780025,960.3341796823217
73,1061.3726222997043,958.2477509894904
74,1060.559565785742,955.7142468029938
75,1060.7988759436614,952.1980523785692
76,1060.6644371983975,950.4666015856344
77,1061.0379381361422,948.4453776045315
78,1060.131454052812,947.6407501076669
79,1060.7987677230008,945.4579671597476
80,1060.5394049234878,944.2199761167623
81,1059.720398463573,942.2546413752938
82,1059.4699101368105,940.5869848028532
83,1059.4557492217643,939.8090821040973
84,1059.2840962536654,938.7061952464371
85,1058.8639791010937,937.2535833758194
86,1058.0066237964386,935.4957377352846
87,1057.6219908847079,933.7197398816988
88,1055.0496946131111,932.7473450535254
89,1052.4808298524786,932.084143326435
90,1052.261717642342,930.7771634956846
91,1051.967571749342,929.5689097458936
92,1051.3465302109169,927.8588307961095
93,1050.6092123475514,926.1134704583995
94,1049.9120169203104,924.2637490065033
95,1049.5617861554022,922.5762519843394
96,1049.3267690001094,921.7795330593534
97,1048.2759845418955,920.3864514998297
98,1048.2602211205838,919.6452729743909
99,1046.7404271905311,918.8799819172897
100,1047.5153952557714,916.8059199805559
101,1045.3282984065606,915.339001435179
102,1045.1356139759744,914.1988718575111
103,1045.6070404578654,912.5363715771039
104,1045.5794421687926,911.5029301503952
105,1045.5584569250868,910.9295984849834
106,1045.487018052147,910.3748606094165
107,1045.1444506535518,909.8114189751516
108,1043.885998832074,909.0313326284534
109,1043.810367758112,908.4512131526762
110,1043.7136865526863,907.5222756401931
111,1042.1440059222116,906.7327430275509
112,1041.901416554423,906.2731980847614
113,1041.708454127427,905.4578146591747
114,1041.8773391259401,904.5914450162621
115,1041.5322787224136,904.1081620402745
116,1041.3728625687359,903.051058812762
117,1042.0212108574924,902.1027740768628
118,1042.1386303928305,900.9132188186634
119,1042.469182505416,899.925888652133
120,1042.5233239424879,899.687720488999
121,1042.6304415309082,898.9454429500513
122,1042.7262360247148,898.4034476785072
123,1042.6870971087967,897.7371081172925
124,1042.3313351809725,897.0130401498488
125,1041.9471743381337,896.7170455697957
126,1041.8982421466196,895.4578816176056
127,1041.8853490203032,894.6156642199082
128,1041.4299157262983,894.2915238466815
129,1041.3025349579566,893.3883821422148
130,1041.0281011344189,892.952886853024
131,1040.7980454998105,892.6567906838907
132,1040.5820023959975,892.1131767509015
133,1040.5104712223472,891.1904027862954
134,1040.4381689823274,890.2485897491639
135,1040.5430311513992,889.3948700652417
136,1040.713303508973,888.6901319185176
137,1040.5722131311186,887.3430186644265
138,1040.4831777221002,887.010623867481
139,1040.2212459986172,884.4714255894745
140,1039.805871380722,883.7230014861092
141,1039.6111539078092,883.366147003917
142,1039.5476220899757,882.6682025433497
143,1039.5087686117313,881.8559258283589
144,1039.5683584800229,881.1815883856099
145,1039.2977807153318,880.7736995533164
146,1039.0675194578812,879.1914416909159
147,1039.221921209804,878.9263271382667
148,1039.4205517426808,878.4107999741357
149,1039.4154214865885,877.7317779518467
150,1039.1309058024028,877.2665295820303
151,1039.2702528204607,876.7773910426218
152,1039.3903223904747,875.8851694142887
153,1039.2660018125507,874.5580271092529
154,1039.1964575358677,873.7042777078291
155,1039.1313687074123,873.3783582968915
156,1039.0985460530098,872.6200734173043
157,1039.0253704819597,872.3076345826794
158,1039.0735316035523,871.8313940150188
159,1038.7911046598515,869.2219109589671
160,1038.7152114967796,868.9740367258198
161,1038.261269650892,867.8069963249582
162,1038.233057285425,866.7704454170524
163,1038.6267736877824,866.2211104030455
164,1038.5933416873143,865.4653888475461
165,1038.6633907728692,864.6540667723364
166,1038.5188315063626,863.9119980614719
167,1038.4535729405716,863.4252597140442
168,1038.4538495324762,862.998010140734
169,1038.7108830063553,862.3539207383234
170,1038.6017750314963,861.7324494920192
171,1038.5458952010758,861.517546245757
172,1038.2879482513779,860.5545602057291
173,1038.3026628447253,860.3559957608103
174,1038.3789758296862,860.0709317518634
175,1038.2526021558892,859.3649884382494
176,1038.2312964229145,858.9459059344313
177,1038.1951333153672,858.250348840598
178,1038.4769673668134,857.7246735873986
179,1038.370304080143,857.0769726371441
180,1038.5084115289328,856.3698140423868
181,1038.474962847424,855.867313623271
182,1038.3355284461109,855.3920768559692
183,1038.3885544398179,854.8718574694019
184,1038.2582659851257,853.9924268373627
185,1038.2057294866206,853.7051401282788
186,1038.1786894963845,853.2921673004997
187,1038.1459541271465,852.9481093513242
188,1038.0749360627196,852.4686899237483
189,1038.119795178429,851.8500186463797
190,1038.2424788708406,850.8632558377197
191,1038.1089011710462,850.4129761750634
192,1037.8506902947167,849.8420132726712
193,1037.9276434257106,849.3141213084521
194,1038.0955493804981,848.13822345061
195,1038.215625848722,847.062111341887
196,1038.2165073117465,846.4198760088989
197,1038.2271303607736,846.0328888796834
198,1038.2453858776767,845.7030274618638
199,1038.1708071682883,845.0327857256914
200,1038.154694718378,844.5108707055216
201,1038.1355165237687,843.7768185059639
202,1038.192311079732,843.0392030055367
203,1038.343489562242,842.6932822321187
204,1038.2922633115932,841.8387563969435
205,1038.455260295998,841.2841661795934
206,1038.3498075303974,840.554194063284
207,1038.419564687046,840.03727540254
208,1038.4347763453582,839.786745004212
209,1038.4235640899144,839.7149994650462
210,1038.5741406822056,839.4348758636611
211,1038.5362420856275,838.9789884875348
212,1038.6573796235928,838.3021539683948
213,1038.739150322013,837.866613964226
214,1038.7533577592308,837.5310371280767
215,1038.5842462555067,836.9974856863075
216,1038.5531639912895,836.7375861857652
217,1038.4802474731512,835.955388136458
218,1038.3553017856048,835.5245288799492
219,1039.2871637764772,834.4310015434421
220,1039.4842050315785,833.4709473853995
221,1039.462462394017,832.0731996498281
222,1039.501597910972,831.4269844491184
223,1039.5253544810266,831.1842642019465
224,1040.0852755108376,830.3548615999947
225,1040.1558583134936,829.7378839637921
226,1039.9582155733224,828.7298111590309
227,1040.0368901519728,827.6260278528928
228,1040.0441888211383,827.4354987561262
229,1040.0795041924473,827.0129236603775
230,1040.2410296633914,826.4338500344998
231,1040.393856581452,825.8860784259491
232,1040.5757173816057,824.4282708270812
233,1040.6437345772445,823.9425651375238
234,1040.6169321915604,823.3001735678091
235,1040.8897387630552,823.0111638462026
236,1040.694316919958,822.7100200143586
237,1040.8093984239138,821.9556305110477
238,1040.7202729560581,821.6117312681536
239,1040.7039149014481,821.564869747587
240,1040.7091231739416,821.5319635651515
241,1040.682921164587,820.955624540058
242,1040.696304081528,820.6428680895601
243,1040.6237684452442,820.3615758211334
244,1040.6033880430928,819.9608428807979
245,1040.6460945396395,819.4992720407901
246,1040.823217378406,819.2176080753637
247,1040.8624115111338,818.8181950494817
248,1040.890162119964,818.5826105709128
249,1041.041418984016,818.0491614711447
250,1040.9479505581562,817.8008835538196
251,1041.0265317481553,817.4189502638944
252,1040.9742166421952,817.0811830231906
253,1041.2047017747263,816.5015469331648
254,1041.070546616102,815.9486465294738
255,1041.45306837639,815.5411777627786
256,1041.425992055604,815.2682262950875
257,1041.3350734856438,814.436941232352
258,1041.3305108190054,814.1544857209216
259,1041.378713879704,813.9118831595872
260,1041.327235487034,813.2616376736026
261,1041.3187352490481,813.011879451994
262,1041.4905764383914,812.3201393101051
263,1041.4403104611213,812.0609000846514
264,1041.5775510882645,811.4545959473336
265,1041.610468266061,810.7630446048234
266,1041.6256409404436,810.4484005060011
267,1041.6000645456024,810.1129046879983
268,1041.473311079602,809.644323206886
269,1041.5724350878163,809.1342307686888
270,1041.5832136984707,808.7621455125704
271,1041.7887870554641,808.3831168040971
272,1041.8279111916665,808.0363828066779
273,1041.8233939571064,807.9314861593508
274,1041.9062133086013,807.5198652840229
275,1041.5545899654487,807.4626665934379
276,1041.4045116656719,806.8559592311611
277,1041.444513702463,806.1913198950966
278,1041.2713801006485,805.5945547259546
279,1041.2604172390286,805.301967621751
280,1041.2556380335784,804.3008061690588
281,1041.1923118995364,803.9427325437462
282,1041.251713541365,803.6953967371827
283,1041.2374638769227,803.4904791203933
284,1041.2511349629692,802.7605274520264
285,1041.1806121317668,802.4434233561074
286,1041.0591107325351,802.0701719695236
287,1041.1714712809023,801.8164945759103
288,1041.1497999876426,801.1911450073012
289,1041.2417384262903,800.6835581878474
290,1041.363019795192,800.1693921127787
291,1041.355048071116,800.1474306090104
292,1041.3906010960063,799.7013693549977
293,1041.407561578611,799.2649428691075
294,1041.379742485738,798.7782475772439
295,1041.6539704111653,798.0458039056684
296,1041.6639699541731,797.6544791575324
297,1041.6807745043577,797.5575831108406
298,1041.8220475198375,797.1292431494633
299,1041.9195043760842,796.5895024864037
300,1041.753346780577,795.9415445710769
301,1041.59301072948,795.6666210488254
302,1041.6494217910556,795.4432083891941
303,1041.682088135929,794.9650343125498
304,1041.5547461494002,794.7860597355663
305,1041.6883716926936,794.1801803846446
306,1041.6331019801314,793.8029334917067
307,1041.6032433809146,793.531353875914
308,1041.2579476190695,793.0705324534006
309,1041.1283452412245,792.6801907932642
310,1041.1505821000378,792.4668555223478
311,1041.0735856723488,791.9450205371285
312,1041.0541827251202,791.8235913049939
